codigo,apellidos,nombres,email
EST001,García Mendoza,Carlos,carlos.garcia@email.com
EST002,López Sánchez,María,maria.lopez@email.com
EST003,Rodríguez Flores,José,jose.rodriguez@email.com
EST004,Martínez Quispe,Ana,ana.martinez@email.com
EST005,Hernández Vega,Luis,luis.hernandez@email.com
EST006,Díaz Torres,Carmen,carmen.diaz@email.com
EST007,Fernández Ramos,Miguel,miguel.fernandez@email.com
EST008,Pérez Huamán,Rosa,rosa.perez@email.com
EST009,Sánchez Castillo,Pedro,pedro.sanchez@email.com
EST010,Gómez Vargas,Laura,laura.gomez@email.com
EST011,Ruiz Paredes,Roberto,roberto.ruiz@email.com
EST012,Torres Mendoza,Sofía,sofia.torres@email.com
EST013,Ramírez Silva,Diego,diego.ramirez@email.com
EST014,Flores Chávez,Valentina,valentina.flores@email.com
EST015,Morales Espinoza,Andrés,andres.morales@email.com
EST016,Vega Palacios,Lucía,lucia.vega@email.com
EST017,Castro Reyes,Fernando,fernando.castro@email.com
EST018,Ortiz Mamani,Camila,camila.ortiz@email.com
EST019,Mendoza Arias,Javier,javier.mendoza@email.com
EST020,Chávez Luna,Isabella,isabella.chavez@email.com
EST021,Vargas Delgado,Ricardo,ricardo.vargas@email.com
EST022,Quispe Rojas,Daniela,daniela.quispe@email.com
EST023,Palacios Vera,Sebastián,sebastian.palacios@email.com
EST024,Espinoza Cruz,Mariana,mariana.espinoza@email.com
EST025,Huamán Paz,Alejandro,alejandro.huaman@email.com
EST026,Reyes Campos,Valeria,valeria.reyes@email.com
EST027,Silva Navarro,Gabriel,gabriel.silva@email.com
EST028,Delgado Romero,Paula,paula.delgado@email.com
EST029,Rojas Medina,Nicolás,nicolas.rojas@email.com
EST030,Cruz Figueroa,Antonella,antonella.cruz@email.com
